day,RT_count,followers_count,sentiment,binary_opinion,year,week_number,norm_followers_count,norm_RT_count,tweet_value,stablity,indicator,macron,fillion,lePen,hamon
2016-12-23,206670.0,13878375.0,2508.9,2522,8697024.0,220014.0,0.4118627573148995,4315.992902808983,0.41196020549060475,0.252996695811034,0.6141289678932446,0.9400711195881951,0.1771886203295484,0.18077346777301395,1.0
2016-12-24,151021.0,6230774.0,1481.6,1547,5497632.0,139077.0,0.18490808613011148,2728.456283810497,0.184960258079075,0.12062828183563055,0.6521848698116491,0.940053471098545,0.20709219206557397,0.6991069895491809,1.0
2016-12-25,177990.0,3918598.0,848.3,936,3271968.0,82773.0,0.1162906015357454,1624.7163437894756,0.11634132062072665,0.06438048935921216,0.5533759546111129,0.8758924432971359,0.24212038343659498,0.9452647503970724,0.9743883464203206
2016-12-26,142488.0,7294753.0,1504.0,1512,5727456.0,147732.0,0.216483347979222,2842.374000752148,0.21656878445501135,0.12673203981559075,0.5851814707946392,0.8901307217610106,0.3457411700736329,0.20157272918493838,1.0
2016-12-27,325932.0,15004684.0,2151.6,2094,8174880.0,210860.0,0.44528776062606434,4058.1429370413584,0.4454317249664468,0.29742922828783225,0.6677324752973911,0.9709769548959325,0.3529808998190232,0.6780420989005562,1.0
2016-12-28,541664.0,17860008.0,2883.6,2863,10704960.0,276120.0,0.5300240223042081,5315.223224014734,0.5302172551884232,0.3511038139605587,0.6621885850089638,0.9621709909087844,0.20106877827547234,0.6939339432485455,0.9985204905999897
2016-12-29,260485.0,8878960.0,1971.05,2075,7453152.0,192244.0,0.263497199613694,3699.511836687463,0.26363137763822364,0.13101900875245034,0.4969780529396818,0.8987322230196884,0.14371595029414067,0.862811714099071,1.0
2016-12-30,268277.0,18158620.0,2171.9,2362,7519680.0,193960.0,0.538885806316192,3732.5869743401827,0.5393002842753706,0.36231342451497983,0.6718213119464629,0.9607913216737244,0.10683712416832122,0.7501077455332986,1.0
2016-12-31,181121.0,13385805.0,1985.2,1996,7189056.0,185432.0,0.39724496248152746,3567.7465357800643,0.39730090939621765,0.21609998744798428,0.5439201933275051,0.8708005667332962,0.1519489694086062,0.6075088586634206,0.9987643589552482
2017-01-01,157769.0,11525030.0,1517.75,1671,5950150.0,153400.0,0.34202351744616616,2951.5213542520464,0.34246387888735835,0.19384733629537212,0.5660373202720498,0.9636984268656396,0.09199990750864939,0.7425169664617947,1.0
2017-01-02,190394.0,29194715.0,2318.2,2475,8366516.0,4148.0,0.8663994033107375,4149.835954601121,0.8664583101569486,0.5005038707862963,0.5776433383109176,0.8735356164568853,0.05641672919647641,0.9265472044058035,0.9975293838310557
